frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score,tracking
85,797,472,142,98,13916,13670.8,1.9336350777934936,0.0,0.0,0,MOVING AWAY,False,31,📉 LOW OVERTAKE CHANCE,0,14.454502593116455,0,success
86,796,472,142,98,13916,13670.8,1.9336350777934936,0.0,0.0,0,MOVING AWAY,False,29,📉 LOW OVERTAKE CHANCE,0,14.454502593116455,0,success
87,792,472,142,98,13916,13916.0,1.9683168316831683,0.0,0.0,0,MOVING AWAY,False,27,📉 LOW OVERTAKE CHANCE,0,15.61056105610561,0,success
88,787,470,149,103,15347,14202.2,2.008797736916549,715.5,715.5,0,APPROACHING,True,31,📉 LOW OVERTAKE CHANCE,0,16.959924563884968,30,success
89,786,470,149,103,15347,14488.4,2.0492786421499294,715.5,715.5,1,APPROACHING,True,35,📉 LOW OVERTAKE CHANCE,0,18.309288071664312,30,success
90,785,470,149,103,15347,14774.6,2.0897595473833097,0.0,0.0,0,MOVING AWAY,False,36,📉 LOW OVERTAKE CHANCE,0,19.658651579443656,0,success
91,782,471,149,103,15347,15060.8,2.13024045261669,0.0,0.0,0,MOVING AWAY,False,34,📉 LOW OVERTAKE CHANCE,0,21.008015087223,0,success
92,781,471,149,103,15347,15347.0,2.170721357850071,0.0,0.0,0,MOVING AWAY,False,35,📉 LOW OVERTAKE CHANCE,0,22.357378595002363,0,success
93,780,472,149,103,15347,15347.0,2.170721357850071,0.0,0.0,0,MOVING AWAY,False,36,📉 LOW OVERTAKE CHANCE,0,22.357378595002363,0,success
94,776,469,157,109,17113,15700.2,2.2206789250353607,883.0,883.0,0,APPROACHING,True,37,📉 LOW OVERTAKE CHANCE,0,24.022630834512025,30,success
95,774,469,157,109,17113,16053.4,2.2706364922206506,883.0,883.0,1,APPROACHING,True,41,📉 LOW OVERTAKE CHANCE,0,25.687883074021684,30,success
96,773,469,157,109,17113,16406.6,2.3205940594059404,0.0,0.0,0,MOVING AWAY,False,42,📉 LOW OVERTAKE CHANCE,0,27.353135313531347,0,success
97,773,470,157,109,17113,16759.8,2.3705516265912303,0.0,0.0,0,MOVING AWAY,False,44,📉 LOW OVERTAKE CHANCE,0,29.01838755304101,0,success
98,772,471,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,42,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
99,772,471,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,40,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
100,772,472,157,109,17113,17113.0,2.4205091937765206,0.0,0.0,0,MOVING AWAY,False,42,📉 LOW OVERTAKE CHANCE,0,30.683639792550686,0,success
101,768,470,165,114,18810,17452.4,2.468514851485149,848.5,848.5,0,APPROACHING,True,46,⚡ MEDIUM OVERTAKE CHANCE,0,32.283828382838294,30,success
102,770,470,165,114,18810,17791.8,2.5165205091937763,848.5,848.5,1,APPROACHING,True,50,⚡ MEDIUM OVERTAKE CHANCE,0,33.88401697312588,30,success
103,771,470,165,114,18810,18131.2,2.5645261669024046,0.0,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,35.48420556341349,0,success
104,771,470,165,114,18810,18470.6,2.6125318246110325,0.0,0.0,0,MOVING AWAY,False,49,⚡ MEDIUM OVERTAKE CHANCE,0,37.08439415370108,0,success
105,771,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
106,772,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,49,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
107,774,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,50,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
108,775,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,50,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
109,777,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,51,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
