frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
147,1.9943977591036415,272.8000000000002,APPROACHING,45,0.0
148,1.6184251478369125,272.8000000000002,APPROACHING,47,0.0
149,1.6184251478369125,272.8000000000002,APPROACHING,49,0.0
150,1.7573607220666043,599.5999999999995,APPROACHING,48,0.0
151,1.9943977591036415,599.5999999999995,APPROACHING,48,0.0
152,1.9943977591036415,599.5999999999995,APPROACHING,49,0.0
153,1.9943977591036415,599.5999999999995,APPROACHING,49,0.0
154,1.7777777777777777,599.5999999999995,APPROACHING,49,0.0
155,1.9863678804855276,735.8000000000002,APPROACHING,50,2.5
156,2.1708683473389354,735.8000000000002,APPROACHING,51,2.5
157,2.1708683473389354,735.8000000000002,APPROACHING,52,2.5
158,2.1708683473389354,735.8000000000002,APPROACHING,53,2.5
159,2.4095860566448803,735.8000000000002,APPROACHING,56,2.5
160,2.2663554310613137,899.6000000000004,APPROACHING,57,5.0
161,2.660753190164955,899.6000000000004,APPROACHING,59,5.0
162,2.4095860566448803,899.6000000000004,APPROACHING,60,5.0
163,2.4095860566448803,899.6000000000004,APPROACHING,60,5.0
164,2.660753190164955,899.6000000000004,APPROACHING,63,5.0
165,2.5100529100529103,783.0,APPROACHING,64,7.5
166,2.1708683473389354,783.0,APPROACHING,64,7.5
167,2.1708683473389354,783.0,APPROACHING,63,7.5
168,2.1708683473389354,783.0,APPROACHING,63,7.5
169,1.9943977591036415,783.0,APPROACHING,61,7.5
170,2.100280112044818,-1316.6000000000004,MOVING AWAY,58,0.0
171,1.7777777777777777,-1316.6000000000004,MOVING AWAY,52,0.0
172,1.7777777777777777,-1316.6000000000004,MOVING AWAY,48,0.0
173,2.1708683473389354,-1316.6000000000004,MOVING AWAY,45,0.0
174,2.1708683473389354,-1316.6000000000004,MOVING AWAY,41,0.0
175,1.9783380018674135,-391.8000000000002,MOVING AWAY,36,0.0
176,1.9943977591036415,-391.8000000000002,MOVING AWAY,34,0.0
177,1.9943977591036415,-391.8000000000002,MOVING AWAY,31,0.0
178,1.9943977591036415,-391.8000000000002,MOVING AWAY,28,0.0
179,1.9943977591036415,-391.8000000000002,MOVING AWAY,26,0.0
180,2.077435418611889,318.40000000000055,APPROACHING,29,0.0
181,2.1708683473389354,318.40000000000055,APPROACHING,33,0.0
182,2.1708683473389354,318.40000000000055,APPROACHING,37,0.0
183,2.4095860566448803,318.40000000000055,APPROACHING,41,0.0
184,2.660753190164955,318.40000000000055,APPROACHING,46,0.0
185,2.3643323996265173,921.8000000000002,APPROACHING,50,0.0
186,2.9243697478991595,921.8000000000002,APPROACHING,56,0.0
187,2.9243697478991595,921.8000000000002,APPROACHING,62,0.0
188,3.2356053532524123,921.8000000000002,APPROACHING,68,0.0
189,3.5555555555555554,921.8000000000002,APPROACHING,75,0.0
190,3.239091192032369,2810.6000000000004,APPROACHING,78,0.0
191,3.2356053532524123,2810.6000000000004,APPROACHING,81,0.0
192,3.2356053532524123,2810.6000000000004,APPROACHING,84,0.0
193,2.9243697478991595,2810.6000000000004,APPROACHING,85,0.0
194,3.2356053532524123,2810.6000000000004,APPROACHING,86,0.0
