frame,x,y,width,height,box_area,area_ratio,status,closer_chance,tracking
693,876,484,106,70,7420,0.9790468147991767,📉 MOVING AWAY,58,success
694,877,483,106,70,7420,0.9790468147991767,📉 MOVING AWAY,58,success
695,880,484,101,67,6767,0.9618145352826304,📉 MOVING AWAY,23,success
696,880,484,101,67,6767,0.9445822557660843,📉 MOVING AWAY,0,success
697,880,483,101,67,6767,0.9273499762495382,📉 MOVING AWAY,0,success
698,876,481,101,67,6767,0.9295956873315364,📉 MOVING AWAY,0,success
699,877,481,101,67,6767,0.9119946091644204,📉 MOVING AWAY,0,success
700,874,479,106,70,7420,0.9462507202238868,📉 MOVING AWAY,0,success
701,869,478,106,70,7420,0.9817567190031848,📉 MOVING AWAY,63,success
702,870,478,106,70,7420,1.0185822828035629,📈 GETTING CLOSER,37,success
703,867,478,106,70,7420,1.0568023660403618,📈 GETTING CLOSER,100,success
704,869,479,101,67,6767,1.0771981675779518,📈 GETTING CLOSER,100,success
705,868,480,101,67,6767,1.0378682440269078,📈 GETTING CLOSER,75,success
706,866,481,101,67,6767,1.0,📉 MOVING AWAY,100,success
707,865,483,96,64,6144,0.9461082863049672,📉 MOVING AWAY,0,success
708,862,483,96,64,6144,0.8941476664746071,📉 MOVING AWAY,0,success
709,861,483,96,64,6144,0.877054352895986,📉 MOVING AWAY,0,success
710,861,484,91,61,5551,0.8590825277979549,📉 MOVING AWAY,0,success
711,855,484,91,61,5551,0.8404427876269884,📉 MOVING AWAY,0,success
712,852,483,96,64,6144,0.8721098479255869,📉 MOVING AWAY,0,success
713,846,483,96,64,6144,0.9062567123876154,📉 MOVING AWAY,0,success
714,845,483,96,64,6144,0.9239191641118689,📉 MOVING AWAY,0,success
715,843,483,96,64,6144,0.9797398373983739,📉 MOVING AWAY,59,success
716,838,483,96,64,6144,1.040157107063046,📈 GETTING CLOSER,80,success
717,839,484,91,61,5551,1.0200785535315229,📈 GETTING CLOSER,40,success
718,835,483,96,64,6144,1.0200785535315229,📈 GETTING CLOSER,40,success
719,836,484,91,61,5551,1.0,📉 MOVING AWAY,100,success
720,835,485,91,61,5551,0.9606333189497793,📉 MOVING AWAY,21,success
721,834,485,91,61,5551,0.9227864583333334,📉 MOVING AWAY,0,success
722,834,485,91,61,5551,0.940949978424669,📉 MOVING AWAY,0,success
723,834,485,91,61,5551,0.9212666378995585,📉 MOVING AWAY,0,success
724,834,485,91,61,5551,0.939764339405431,📉 MOVING AWAY,0,success
725,835,485,91,61,5551,0.9590200753256626,📉 MOVING AWAY,18,success
726,834,485,91,61,5551,0.9790814166784252,📉 MOVING AWAY,58,success
727,833,485,91,61,5551,0.9790814166784252,📉 MOVING AWAY,58,success
728,828,485,91,61,5551,1.0,📉 MOVING AWAY,100,success
729,825,484,96,64,6144,1.0213655197261755,📈 GETTING CLOSER,42,success
730,825,485,91,61,5551,1.0213655197261755,📈 GETTING CLOSER,42,success
731,821,486,91,61,5551,1.0213655197261755,📈 GETTING CLOSER,42,success
