frame,pov_x,pov_y,front_x,front_y,rel_x,rel_y,tracking
433,1097,792,853,524,-244,-268,success
434,1096,794,852,524,-244,-270,success
435,1096,794,852,523,-244,-271,success
436,1097,795,850,523,-247,-272,success
437,1097,796,850,523,-247,-273,success
438,1097,796,849,523,-248,-273,success
439,1095,796,850,522,-245,-274,success
440,1092,797,849,524,-243,-273,success
441,1088,793,850,525,-238,-268,success
442,1086,794,850,525,-236,-269,success
443,1084,792,852,525,-232,-267,success
444,1084,793,851,525,-233,-268,success
445,1081,794,851,525,-230,-269,success
446,1078,795,852,525,-226,-270,success
447,1068,792,854,525,-214,-267,success
448,1065,794,853,525,-212,-269,success
449,1063,793,853,525,-210,-268,success
450,1062,792,854,525,-208,-267,success
451,1061,792,855,525,-206,-267,success
452,1059,792,855,525,-204,-267,success
453,1060,791,857,525,-203,-266,success
454,1060,789,858,525,-202,-264,success
455,1061,788,858,525,-203,-263,success
456,1059,789,860,526,-199,-263,success
457,1060,786,861,526,-199,-260,success
458,1064,785,862,526,-202,-259,success
459,1064,786,862,525,-202,-261,success
460,1063,785,864,525,-199,-260,success
461,1067,787,865,525,-202,-262,success
462,1075,793,866,525,-209,-268,success
463,1077,794,867,525,-210,-269,success
464,1056,796,869,524,-187,-272,success
465,1054,797,869,524,-185,-273,success
466,1047,798,871,524,-176,-274,success
467,1039,799,872,524,-167,-275,success
468,1036,799,876,524,-160,-275,success
469,1033,798,875,524,-158,-274,success
470,1032,799,877,525,-155,-274,success
471,1024,801,880,526,-144,-275,success
472,1024,799,881,525,-143,-274,success
473,1023,796,883,526,-140,-270,success
474,1026,797,884,526,-142,-271,success
475,1023,798,886,527,-137,-271,success
476,1022,798,889,527,-133,-271,success
477,1021,798,889,526,-132,-272,success
478,1017,799,893,527,-124,-272,success
479,1013,800,894,526,-119,-274,success
480,1011,802,895,526,-116,-276,success
481,1009,802,899,526,-110,-276,success
482,1009,804,903,526,-106,-278,success
483,1008,803,905,525,-103,-278,success
484,1004,804,909,525,-95,-279,success
485,1001,804,910,525,-91,-279,success
486,996,802,917,524,-79,-278,success
487,994,804,922,524,-72,-280,success
488,987,803,928,523,-59,-280,success
489,984,804,930,523,-54,-281,success
490,983,804,934,523,-49,-281,success
491,972,806,942,523,-30,-283,success
492,973,806,946,523,-27,-283,success
493,972,804,956,522,-16,-282,success
494,971,805,958,522,-13,-283,success
495,970,803,964,522,-6,-281,success
496,964,802,971,522,7,-280,success
497,959,805,977,521,18,-284,success
498,953,806,983,522,30,-284,success
499,955,803,991,521,36,-282,success
500,961,801,992,521,31,-280,success
501,952,808,1002,521,50,-287,success
502,962,801,1005,521,43,-280,success
503,961,811,1013,521,52,-290,success
504,959,809,1015,521,56,-288,success
505,969,809,1020,522,51,-287,success
506,995,814,1027,522,32,-292,success
507,991,817,1028,523,37,-294,success
508,994,814,1031,522,37,-292,success
509,987,814,1034,522,47,-292,success
510,982,810,1035,522,53,-288,success
511,956,792,1036,521,80,-271,success
512,1003,795,1036,521,33,-274,success
513,963,797,1037,521,74,-276,success
514,964,794,1036,521,72,-273,success
515,963,791,1036,520,73,-271,success
516,963,789,1036,520,73,-269,success
517,964,790,1035,520,71,-270,success
518,979,789,1034,520,55,-269,success
519,978,788,1033,520,55,-268,success
520,981,790,1032,520,51,-270,success
521,982,788,1032,520,50,-268,success
522,982,789,1030,520,48,-269,success
523,984,790,1030,520,46,-270,success
524,983,789,1029,520,46,-269,success
525,984,788,1028,520,44,-268,success
526,981,789,1027,520,46,-269,success
527,978,788,1026,520,48,-268,success
528,980,788,1026,520,46,-268,success
529,982,788,1023,520,41,-268,success
530,982,788,1023,520,41,-268,success
531,985,790,1022,520,37,-270,success
532,986,790,1020,519,34,-271,success
533,990,793,1019,519,29,-274,success
534,990,792,1017,519,27,-273,success
535,995,792,1017,519,22,-273,success
536,994,790,1014,519,20,-271,success
537,997,791,1014,518,17,-273,success
538,998,793,1012,518,14,-275,success
539,998,794,1012,518,14,-276,success
540,998,793,1012,518,14,-275,success
541,999,792,1012,517,13,-275,success
542,1000,793,1011,517,11,-276,success
543,1000,792,1011,516,11,-276,success
544,996,790,1010,515,14,-275,success
545,994,788,1010,515,16,-273,success
546,998,787,1010,514,12,-273,success
547,1000,786,1009,514,9,-272,success
548,1001,784,1009,514,8,-270,success
549,1004,783,1008,514,4,-269,success
550,1007,783,1008,514,1,-269,success
551,1009,783,1006,514,-3,-269,success
552,1006,785,1005,515,-1,-270,success
553,1008,783,1006,515,-2,-268,success
554,1009,783,1007,515,-2,-268,success
